jan,title,avg_sold_price,avg_shipping,total_sold,total_sales,date_last_sold,brand,mpn,epid,category,seller,item_id,url
4943674376469,David Bowie Ziggy Stardust The Motion Picture 50th Anniv. 2CD Blu-ray WPZR-30970,76.29,0,1,76.29,"Aug 19, 2026",,,,Music|CDs,sdyk0022,115856666899,https://www.ebay.com/itm/115856666899
4534530144690,Fate/Grand Order Original Soundtrack VI Limited Edition CD FGO OST OBI STRIP,61.61,24,1,61.61,"Aug 19, 2026",,,16061642485,Music|CDs,sdyk0022,115864371954,https://www.ebay.com/itm/115864371954
4988064585809,BLACKPINK Re: BLACKPINK CD w/ DVD Region 2 Repackage of Japan Debut Mini Album,116.96,0,1,116.96,"Aug 19, 2026",,,12046056398,Music|CDs,sdyk0022,116191641643,https://www.ebay.com/itm/116191641643
4534530154088,Puella Magi Madoka Magica Movie Beginnings Eternal Rebellion 4K UHD Blu-ray,187.87,0,1,187.87,"Aug 19, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116451139040,https://www.ebay.com/itm/116451139040
4524135218438,The Quintessential Quintuplets Specials2 Blu-ray Region free Anime Movie,96.22,10,1,96.22,"Aug 19, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116494299173,https://www.ebay.com/itm/116494299173
4547366635836,Yo-Yo Ma Cello 2CD SACD-Hybrid Bach Six Cello Suites 1982 Rec. Japan OBI,54.81,10,1,54.81,"Aug 19, 2026",,SICC-10432,,Music|CDs,sdyk0022,116760617040,https://www.ebay.com/itm/116760617040
4549526362590,CASIO Baby-G BGD-565US-7JF Clear Color Women's Watch,97.79,0,1,97.79,"Aug 20, 2026",Casio,BGD-565US-7JF,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,116989800496,https://www.ebay.com/itm/116989800496
4906006295128,Orient ORIENT Contemporary RN-AR0010R Automatic Men's Watch,294.84,0,1,294.84,"Aug 19, 2026",Orient,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,116995853000,https://www.ebay.com/itm/116995853000
4934569370549,Labyrinth (2026 film) Limited Edition 2 Blu-ray Booklet Japan BCXA-2054 PRE,128.49,24,1,128.49,"Aug 19, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,117361719934,https://www.ebay.com/itm/117361719934
4571106661632,Ortofon 6NX-TSW-1010R Tonearm Cable RCA - RCA Terminal 1.2m Japan NEW,229.51,32.23,1,229.51,"Aug 19, 2026",Ortofon,TSW 1010R,,"Consumer Electronics|TV, Video & Home Audio|TV, Video & Audio Parts|Record Player, Turntable Parts",samuraisellercooljapanc.t,123323699887,https://www.ebay.com/itm/123323699887
4981932512297,Yu-Gi-Oh 5D's Yusei Fudo AMAKUNI limited 1/7 Scale Figure Hobby Japan NEW,219.44,0,1,219.44,"Aug 19, 2026",AMAKUNI,,,Toys & Hobbies|Action Figures & Accessories|Action Figures,samuraisellercooljapanc.t,123950661897,https://www.ebay.com/itm/123950661897
4904710301609,TIGER JNP-1800P Rice Cooker 10 Cups 220V Pink Fast Shipping From Japan  NEW,258.31,37.78,1,258.31,"Aug 20, 2026",TIGER,,,"Home & Garden|Kitchen, Dining & Bar|Small Kitchen Appliances|Rice Cookers",samuraisellercooljapanc.t,124121128337,https://www.ebay.com/itm/124121128337
4971850472971,CASIO G-SHOCK G-LIDE GWX-5600-1JF Multiband 6 Solar Radio Men's Watch New,148.19,0,1,148.19,"Aug 19, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",nyankichi2009,125337029239,https://www.ebay.com/itm/125337029239
4549526318351,CASIO PRO TREK PRW-61-1AJF Solar Radio Men's Watch New in Box,289.52,50,1,289.52,"Aug 19, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",nyankichi2009,125341695790,https://www.ebay.com/itm/125341695790
4954628427632,SEIKO DOLCE SACM171 Men's Watch Quartz Sapphire Glass,342.42,50,1,342.42,"Aug 19, 2026",SEIKO,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",nyankichi2009,125826028714,https://www.ebay.com/itm/125826028714
4959112156920,KORG ELECTRIBE2 RD Red Electribe Music Production Station,346.28,0,1,346.28,"Aug 19, 2026",Korg,ELECTRIBE2  Electribe,,Musical Instruments & Gear|Pro Audio Equipment|Samplers & Sequencers,nyankichi2009,126089161811,https://www.ebay.com/itm/126089161811
